Question,Answer,,,,,
Why is there an = at const book but a : at author?,"const book we’ve declared a variable “book” which stores data in a hash. within that hash, we’ve created a key called “author” which is another hash.",,,,,
On the link containing the slides/videos for each day in the coding weekend. JavasScript isn’t clickable so I can’t access the slides. Will we be able to access the slides at the end of today’s session?,"yep, we’ll add slides and update the page after the session today :)",,,,,
what is the point of using ¬ at the end of everything,"this is just the editor showing us that there is a line break, i think you can toggle whether you view this or not",,,,,
When will we start to make the snake phone game?,in just a moment!,,,,,
can u repost the recorded link please?,it’s in the chat and also in your emails :),,,,,
"can you explain the incriments part, what does ++ mean?",live answered,,,,,
What does i++ do?,live answered,,,,,
What would it be if want to count backwards?,"If we are talking about a for loop, you use a decrementor so i-- instead of i++",,,,,
can you go up in decimals for example go up by 0.5 each time,you  could use i+=0.5,,,,,
"I see the result of console.log just fine, so I know the browser is referencing the index.js file. But whenever I type the name of a variable in the console it tells me the variable is undefined. However, if I use console.log variable name, it displays the variable successfully.",live answered,,,,,
Can you pass an object into a function?,live answered,,,,,
"""Uncaught SyntaxError: Unexpected token ':'""",you have :  somewhere it should not be,,,,,
"what is wrong with this code it is giving errors

function callSnek(title) {
	retun ""Come, "" + title
}",you have a typo!,,,,,
How do we console log the function sayHi with our names?,wrap what you want to console log inside the the console.log ( wrapItHere ),,,,,
How do we console log the function sayHi with our names?,you need to call the function as sayHi(“my name”),,,,,
where we do get the gihub link?,https://github.com/boolean-uk/demo-snake,,,,,
Are these .fillRect; .getContext; functions implemented in JS by default? Or are they pre-written by you guys?,these are javascript methods,,,,,
In javascript using ; after commands is optional?,"JS has 'semicolon insertion', which means if you do ommit them they will be added when the code is parsed.... but.... its best practice to add them",,,,,
"My snake page seems to be missing the rectangle canvas, have I not linked my css file?",double check you’ve copy-pasted correctly and then check for typos!,,,,,
what does triple = mean?,It is the strict equality operator,,,,,
after function (event) shouldnt there be another bracet to close the initial one,yes its on line 26 before the closing ),,,,,
what is a good way to master it quickly?,practice and experiment,,,,,
Is there any sources you could introduce for further practice?,our fundamentals camp is a great way to try some more HTML & CSS https://boolean.co.uk/fundamentals,,,,,
"I copyed the code its does not show any dot on my page, Demo",check for typos!,,,,,
Difference between == and ===?,'== does not check data type and is a less strict operator (comparitor) than ===,,,,,
in the end all is so fast,"please do watch the recording back when we share it, so you have a chance to watch over it",,,,,
Do you need to call the function?,live answered,,,,,
did you call (execute) the ,live answered,,,,,
