Intro to HTML & CSS Q&A,Question,Answer
,Can you explain to me why CMS are useful? Would you recommend to use them?,"A Content Management System is a piece of software that somebody builds, and then a website can be built on top of it. This will provide easier ways for people to modify the content of the website - e.g. an article writer can add a new article to the website without having to write HTML"
,why is the </a> on a different line,"In the example on the screen the <a></a> is wrapped around another HTML element: the <h1></h1> tag. That allows the content inside the <h1> to be clicked as a link - you could certainly put it all on the same line, but it helps keep things readable for developers to format it the way Ed has :)"
,can you show us the way to get an image up,live answered
,"This takes about 6 months to complete the full 'education', is it a fulltime thing, or are you able to do it alongside other jobs?",The course is full-time so you won’t be able to effectively follow it if you are working or studying alongside
,How did you automatically put the title into a comment?,search “keyboard shortcuts + [name of your text editor]” and you’ll be able to find the shortcut for commenting out code :)
,what link are you using when putting an image up,live answered
,If HTML is the structure and skeleton and CSS is the style then what role does Javascript play in Web Development?,"You can think of Javascript like the ""brain"". What happens when a form gets submitted? Javascript takes care of that! How does a website know when to display an annoying pop-up box? Javascript! :)"
,"hi, where will we be able to access the recording after?",We’ll share an email :)
,Do we get certificate after this training?,"Yes, everyone who completes the training will receive a certificate"
,"Is there certain specifications for a computer device/laptop that you would recommend as a minimum to run coing programmes effectively? Eg graphic cards, RAM etc etc","HTML, CSS and Javascript are very leight-weight so you can run these types of applications on very low budget machines - no graphics card required!"
,how can you alter the size of an image when opening it with <img>?,"The preferable way is to style it using CSS, but you can also add a width and height attribute to the img tag: e.g. <img width=""300"" height=""500"" />"
,How do you refresh the code?  Is there a button on the keyboard?,"You’ll need to save your text file, and then refresh the browser"
,"What does the ""a"" in ""<a>"" stand for?","""a"" stands for ""anchor"" - it's unlikely you'll ever need to remember that, so don't worry. Most just refer to the tag as a link :)"
,How easy is it for EU citizens to apply and work for a UK based company with a fully remote open position? Has Brexit changed that?,"Great question! Brexit has added complications with visas, but there are ways around it. E.g. companies who have international offices, or companies can usually hire people outside the UK as freelancers/contractors. And the shift to remote working has definitely helped make it easier for people to apply for jobs in other countries."
,this basic fundamental frontend html right sir if we join course would your Institute support us to a get jobs,Absolutely - there is a full career support section when you finish the course :)
,All these characters that are required to write code like !=≤≥ are difficult to be typed quickly in a standard keyboard. Are there shortcuts in the programs or it's just practice and experience.,"Practice, experience and a good keyboard all help here :)"
,How to link the image file locally (types the file location)?,live answered
,I guess a GPU is requiered in some sort for some output :P,"It certainly helps, but isn't required! HTML is very light weight so motherboard integrated graphics are more than enough to handle most things :)"
,Is this program completely dedicated to students in the UK or Europe? Are students from America eligible to apply?,"Great question Carlos. The main issue for people based in the US is the time difference. Classes start at 9.30am GMT which would mean waking up at 4.30am or even earlier depending where you are in the States. For this reason, we’ve found it’s not viable for US students currently to follow the course"
,My Brackets IDE is unable to create a root folder...,Maybe you can try a different text editor?
,Oh another question. What does the dot do in the path?,live answered
,"How is the ""lorem ipsum"" shortcut enabled?","Each editor will have their own way of doing it, but you can always visit https://loremipsum.io/ to generate some and copy / paste :)"
,"So in theory, instead of using a ""."" you can do something like C:\..."" etc?",Absolutely - though you do run the risk of things breaking if the full path changes in the future.
,"As a complete beginner to programming, what resources/websites/videos would you recommend? This session is very useful but a lot of it doesn't make sense to me so I think I might have to start from the very basics first.","Our course starts from scratch, and you’ll be able to rewatch lessons and look over the slides whenever you want. Those will be the best tool for discovering new things. And then Google is your friend for anything you don’t know :)"
,Could you also link the whole path as in C:/Program Files/etc. ?,some more info on this here: https://www.w3schools.com/Html/html_filepaths.asp
,no pika????,Ed's too old for Pokemon Yellow ;)
,Is there a way of autocompleting the tags so that you don't need to keep typing them out to complete the element?,some editors will do this automatically for you!
,What's the difference between <ol> and <li>,"Great question. <ol></ol> defines the block of code that is the ordered list, and <li></li> is each item in that list (list item)"
,what is the purpose of using an <ol> tag to automatically add numbering rather than just using a <p> tag and typing 1. bulbasaur 2. charmander etc.,live answered
,Wait so what is the purpose of a div element?,"A div allows you to define a particular section of your code, e.g. a navigation bar on a website is a div, the header is another div, the content is another. Div is a ""division"" of HTML"
,"When I open my file using my browser, it shows my code rather than the webpage as desired. Thoughts?","maybe double check which browser you’re using, and check for any typos in your code"
,Do you teach ruby ad Rails?,"We don't teach Ruby on Rails at Boolean at this time, sorry!"
,For tommorrows session for javascript I'd like to follow on so what coukd I download prehand?,"Make sure you have a text editor and a browser. You could use VS Code, or Atom for the text editor, and we recommend Chrome for the browser"
,"If you were using C:\... etc, if the code goes live onto the Internet, would the image not appear for other users since its a link to a directory on your own computer? And so using ./ is more robust method? Thanks",Exactly!
,to indent something do you just press space bar or press tab?,"This is an ongoing debate in the tech world - some prefer tab, some prefer spaces. It's down to you and your team to choose :)"
,what's being used for the indent? is it not tab?,"You can use tab or spaces - I prefer tab, but some prefer spaces"
,I find the font is automatically Times New Roman. How can you customize the font style to suit your needs?,You can check out MDN for some info on CSS and fonts specifically: https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_Fonts
,Does every bit of code need to start with that inverted space to make it clean?,The inverted space is just the way for creating a “tag” and it is predominantly used in HTML. clean code covers lots of things (check out SOLID principles if you’re interested in this) and we cover it in lots of detail on the course. Also during the TDD session on Monday!
,"Maybe it would add a benefit to automatically mirror the HTML text, that is edited on the left side to a page / file on the internet. So we could copy it and work with it ourselves in parallel for some more interactivity (at least for those who want).",There is an online code editor called codesandbox that lets you do just this! https://codesandbox.io/
,why are some elements/symbols in a faded brown and not all in black?,"Those faded brown elements are ""comments"", as denoted by <!-- -->. They won't display on the page, we use them as notes for other developers to understand what's happening in our code"
,What if you want the list but you don't want the bullet point?,That's where CSS comes in :)
,Is there any need for <ul> since <li> just indents the lists but <li> on it's still does it purpose,some more info on this here: https://www.w3schools.com/tags/tag_ul.asp
,"I mean the text, that you currently edit in the live session, so we could copy that text","This is a nice idea! It may be too late to start implementing this now, but it's something we'll consider for future events :)"
,What button do you press to look at the elements on a web page?,"Pressing F12 usually opens the developer tools window, or you can right click anywhere on the page and click ""Inspect"""
,"Yes, was meant as a suggestion for future events",thanks tobias :)
,"How do you display things in brackets on a website, for example <placeholder> without the browser thinking it is HTML?","You can use character references to accomplish this! &gt; will display >, &lt; will display <   (gt = greater than symbol, lt = less than symbol)"
,Cant you use the pointer at the top left of inspector to jump to element code for ease of inspection?,Absolutely!
,If you refresh the page will it still have all the styles removed?,live answered
,How many seperate screens should you have as a developer?,"1 is enough, 2 makes things a lot easier, but some even have 3!"
,does the anchor element have any other attribute besides href?,It does have a fair few! Here's a list: https://developer.mozilla.org/en-US/docs/Web/SVG/Element/a#attributes
,My code isn’t changing colour why is that?,have a good look for any typos in your code :)
,Where can I learn more about the full course?,"We’re running an Open Day on Thursday at 6pm where we’ll explain the course, how to apply, and let you hear from some current students. You can sign up here: https://on.boolean.careers/open-day-27-01

Or, you can apply directly on the website and speak to our Admissions Team: https://boolean.co.uk/apply"
,How do i change the link of my page to something else?,"if you mean how to change what appears in the URL, such as to have “www.mywebsite.com” you’ll need to host your code - an advanced topic that we’ll get into on the full-time course!"
,is mdn better than stack overflow for web development,"Both are useful! MDN is considered documentation, which allows you to deeper understand specific things. Stackoverflow is more about asking other developers to help you with solutions to problems. Usually, you can ask a question on StackOverflow and then hit up something like MDN to understand somebody's answer better"
,What is meta data mentioned?,live answered
,what is meta data,live answered
,I am also writing the code in atom and the code is in long line. long texts like Lorem ipusm don’t break and are difficult to read. how do I fix it?,"I'm not sure about the specifics with Atom, but there should be a ""word wrap"" setting you can enable somewhere"
,"If a person in the US is willing to adapt to the time difference, would they still be able to apply? If so, is there any disadvantages to those people in terms of job searching? Sorry if these questions diverge from the present topic.",feel free to reach out to us on hello@boolean.co.uk and we can discuss each case individually
,Will we learn how to set up a website and put in our code to have it visiable from every possible device at any given moment?,"Yes, we cover deploying your software to a server during the course. We want future employers to see your great work!"
,Can HTML be used for mobile app development?,"This is a tough one to answer, but in short - yes, it can be if you're using certain frameworks."
,can you edit a HTML in inspector?,"You can edit everything in the inspector, but changes will be lost when you refresh the page. You're not actually editing the real website for anybody else, the changes are just in your browser"
,So how do we insert emojis in the HTML page?,"Emoji's have hexadecimal codes under the hood, you can use those! The winky face emoji is &#x1F609, which looks confusing, but adding that confusing looking code into your HTML will show a winky face on the screen. Here's a handy list: https://unicode.org/emoji/charts/full-emoji-list.html"
,Will we be able to see all the questions asked and answered during the live later?,we will be able to share the answered questions!
,The comment in css is the same as the on in c/c++ right?,"Good observation! Yes, they look the same. Many languages use that format for comments :)"
,at what date will the course begin?,Our next course starts on 7th February!
,what software is he using to work in HTML alongside CSS?,Ed uses an editor called Atom
,why did the boolean uk bit not change color?,live answered
,So is CSS a different language all together that works in unison with HTML? Could you just use CSS to build a website?,"Yes, CSS is a language specifically for styling HTML. You can't build a website just in CSS, since CSS needs something to apply styles to"
,How can you choose a specific shade of blue that does not necessarily have a name?,"You can use a hex code! Here's a list: https://www.color-hex.com/
Instead of color: red, you could use color: #FF0000"
,What programming language is used to program a programming language? ,"Any language can create another language, but mostly they're written in C or C++"
,I have to go to work. will the recording of today be sent to us via email later today or were can i find it to watch the rest later?,"It will! We will share an email with the recording, which will be available on this page: https://boolean-uk.github.io/coding-weekend/2022/jan/index.html"
,I'm using Pycharm I don't think css is enebaled?,maybe you can try another text editor?
,"I can't get my html code to apply to the CSS file, I saved it on the desktop",make sure the css file is in the same folder as your html file
,Is this the same content that is covered in the fundamentals week? So we can do this profile ourselves?,we cover some similar topics in the Fundamentals Camp but in much more detail on each topic and with a few more exercises to practice :)
,Cannot seem to figure out how to connect the css file to the html one.,live answered
,can you do html on word doc?,"Technically you can if you save the file with a .html extension, but it might be painful to work with Word when writing code"
,"what if i want an ordered list to be yellow, but another one to be red?",live answered
,"Is it possible to do live editing, so I can see changes happen as I code them?",Codesandbox is a great tool that lets you do this!
,Is it best to write html and css simultaneously?,"Absolutely. Whatever we're building, it's good to build simultaneously piece by piece. There's nothing stopping you writing all of your HTML first, though :)"
,How would we go about styling the ordered list contents specifically instead of all the list items?,live answered
,"If you want to apply animated elements either as GIFs or an animated button when clicked, is this something that would be applied through Javascript?","A gif is just an image, so you could use the <img> tag to display one. With Javascript you could choose to only display when a certain element is clicked"
,can you do css on notepad?,"it should work, but it’s best to use a specific code editor like VS code or Atom, they have inbuilt things to help you code!"
,Is the choice of using two space instead of tabs intended?,It's entirely down to preference :)
,How do I make a locally sourced file that goes through many directories into the format ./ so it saves problems in the future?,"the easiest way is to structure your code with a “Main” folder which contains your index.html and css file and a sub-folder for “images” or similar, so you can access them easily"
,"If I'm creating a mobile app that would work with internet connection (eg an app where you would need to sign in/create an account, store information externally etc) and works with backend algorithms and external programs (an example would be like sharing a post from one social platform to another), would HTML/CSS/JavaScript be amongst the languages to implement?","Interesting question! It depends on the technology you choose to use to develop your app. You can use a framework like React Native, which will utilise HTML-like elements, CSS and JavaScript"
,is CSS also used to determine the place of text/images on the webpage such as centered or right hand side or is that done with HTML?,"CSS is how you'd decide the position of elements, but it's also important to place the element properly in HTML"
,is there any other way to link the html and css because that method is not working for me please,"make sure your html and css file are in the correct folder structure, and double check for typos!"
,Is there a larger colour spectrum?,yes! you can use a hexcode to specify whichever colour you like. you can use a colour picker tool to find the colour then copy the hexcode
,"say we already applied color to a list. if we try to add a class to one item with a different color, will it override the color of the list?",live answered
,"From here, how does this website go onto the internet? Like do you need to buy a domain and webserver to host your code?",You will need some kind of server and domain to put your site online :)
,what is the use of HTML in modern time when WIX makes websites so much easier to create?,"Good question! Wix is great for drag and drop building, but it's extremely limited compared to writing your own code. Wix itself was built with HTML, CSS and Javascript"
,iff you add a new style to <ul> to the bottom of the css file will it override the style of the first item in the list?,"Yes, the file is read by the browser top-to-bottom, so anything that comes later will overwrite the beginning"
,Would we ever need to sanitise any of the variables?,"The only time you'd need to sanitise is if you were accepting user input; for example, if you allow a user to modify the CSS, you'd want to make sure they aren't doing anything naughty :)"
,Are you using the BBC as a generic website because of its popularity or did you program their website lol?,haha we didn’t code their website! but it’s a great example of the “grid” layout in CSS
,Is there a way to scale pictures in css?,"Yes, you can add width and height properties to images in CSS :)
Example:

img {
  width: 200px;
}"
,"Thought it worth mentioning for those thinking website builders are going to make front-end obsolete. I used to wonder the same before attempting to host my own profile website using Hostinger and Zyro and let me tell you; it is extremely frustrating in comparison to html/css. Where it is very useful for setting up a site within a day, adding specific elements or trying to lay out something as simple as footer text when you can only moved to pre-fixed postions just gets annoying because it doesn't line up with what you have visualised - its another trade off between less time coding but a more basic and poorly formatted (and SEO optimised) site.",yep - website editors are great for spinning something up quickly without too much customisation. but for anything more customised it’s much easier to code your own
,what is an fr as it applies to size?,live answered
,would it be easier to split into %s rather than pxs,live answered
,Thank yu very much for the lesson one last question for today do we need to download an app for tomorrows lesson of javascript learnt alot thanks.,"a text editor is all you need, VS Code and Atom are good options"
